"","PSY1.qc","PSY2.qc","PSY3.qc","PSY4.qc","PSY5.qc"
"198","FALSE","TRUE","TRUE","TRUE","FALSE"
"199","FALSE","TRUE","TRUE","TRUE","TRUE"
"200","FALSE","FALSE","TRUE","FALSE","FALSE"
"201","FALSE","FALSE","TRUE","TRUE","TRUE"
"202","FALSE","TRUE","TRUE","TRUE","TRUE"
"203","FALSE","TRUE","TRUE","TRUE","TRUE"
"204",NA,"TRUE","TRUE","TRUE","FALSE"
"205",NA,"TRUE","TRUE","TRUE","FALSE"
"206",NA,"TRUE","TRUE","TRUE","FALSE"
"207",NA,"TRUE","TRUE","TRUE","FALSE"
"208",NA,"TRUE","TRUE","TRUE","FALSE"
"209",NA,"TRUE","TRUE","TRUE","FALSE"
"210",NA,"TRUE","TRUE","TRUE","FALSE"
"211","TRUE","FALSE","FALSE","TRUE",NA
"212","TRUE","FALSE","FALSE","TRUE",NA
"213","TRUE","TRUE","FALSE","TRUE",NA
"214","TRUE","FALSE","FALSE","TRUE",NA
"215","TRUE","FALSE","FALSE","TRUE",NA
"216","TRUE","FALSE","FALSE","TRUE",NA
"217","TRUE","FALSE","FALSE","TRUE","FALSE"
"218","TRUE",NA,NA,"TRUE",NA
"219","TRUE",NA,NA,"TRUE",NA
"220","TRUE",NA,NA,"TRUE",NA
"221","TRUE",NA,NA,"TRUE",NA
"222","TRUE",NA,NA,"TRUE",NA
"223","TRUE",NA,NA,"TRUE",NA
"224","TRUE",NA,NA,"TRUE",NA
